,stock,year,dividend_per_share
0,ABCB4,2007,0.27
1,ABCB4,2008,0.352
2,ABCB4,2009,0.51
3,ABCB4,2010,0.54
4,ABCB4,2011,0.6
5,ABCB4,2012,0.33
6,ABCB4,2013,0.604649
7,ABCB4,2014,0.659
8,ABCB4,2015,1.19800358
9,ABCB4,2016,1.087
10,ABCB4,2017,1.086
11,ABCB4,2018,1.079
12,ABCB4,2019,1.05
13,ABCB4,2020,0.15867276
14,ABCB4,2021,1.25416431
0,BRSR6,2007,0.1747053
1,BRSR6,2010,0.60143671
2,BRSR6,2011,0.76991948
3,BRSR6,2012,0.62179065
4,BRSR6,2013,0.40250839
5,BRSR6,2014,0.66127352
6,BRSR6,2015,0.90072045
7,BRSR6,2016,0.57798076
8,BRSR6,2017,0.27160569
9,BRSR6,2018,1.34571436
10,BRSR6,2019,1.24389784
11,BRSR6,2020,0.65688268
12,BRSR6,2021,0.95386928
13,BRSR6,2022,0.33389306
0,BBSE3,2013,0.41478797
1,BBSE3,2014,1.1982075
2,BBSE3,2015,1.68226668
3,BBSE3,2016,1.67387446
4,BBSE3,2017,1.64466808
5,BBSE3,2018,3.0979797
6,BBSE3,2019,1.58271179
7,BBSE3,2020,2.78609655
8,BBSE3,2021,0.99699643
9,BBSE3,2022,0.93004838
0,BBDC3,2007,0.06128925
1,BBDC3,2008,1.82593912
2,BBDC3,2009,0.80068788
3,BBDC3,2010,0.80483254
4,BBDC3,2011,0.97409477
5,BBDC3,2012,0.92418364
6,BBDC3,2013,0.78430512
7,BBDC3,2014,1.1793518
8,BBDC3,2015,1.29001735
9,BBDC3,2016,0.32777352
10,BBDC3,2017,0.97870789
11,BBDC3,2018,1.04328396
12,BBDC3,2019,1.83156812
13,BBDC3,2020,0.6427331
14,BBDC3,2021,0.93309765
15,BBDC3,2022,0.20699791
0,BBDC4,2007,0.06741818
1,BBDC4,2008,2.00853304
2,BBDC4,2009,0.88075666
3,BBDC4,2010,0.88531579
4,BBDC4,2011,1.07150425
5,BBDC4,2012,1.01660201
6,BBDC4,2013,0.86273563
7,BBDC4,2014,1.29728698
8,BBDC4,2015,1.41901909
9,BBDC4,2016,0.36055088
10,BBDC4,2017,1.07657868
11,BBDC4,2018,1.14761237
12,BBDC4,2019,2.01472493
13,BBDC4,2020,0.70700641
14,BBDC4,2021,1.02640742
15,BBDC4,2022,0.22769771
0,BRAP4,2007,0.23926407
1,BRAP4,2008,1.13354711
2,BRAP4,2009,1.16031289
3,BRAP4,2010,1.01749512
4,BRAP4,2011,1.70030695
5,BRAP4,2012,1.85309227
6,BRAP4,2013,0.65013249
7,BRAP4,2014,1.7155252
8,BRAP4,2015,1.03356345
9,BRAP4,2016,0.11100309
10,BRAP4,2017,0.47252592
11,BRAP4,2018,1.92905567
12,BRAP4,2019,1.39420181
13,BRAP4,2020,2.00339806
14,BRAP4,2021,11.26752587
0,BBAS3,2007,0.53575774
1,BBAS3,2008,0.85657223
2,BBAS3,2009,1.25197188
3,BBAS3,2010,2.29548632
4,BBAS3,2011,1.88050015
5,BBAS3,2012,1.62130374
6,BBAS3,2013,2.36147644
7,BBAS3,2014,1.65666471
8,BBAS3,2015,1.68392729
9,BBAS3,2016,0.74301385
10,BBAS3,2017,0.94213526
11,BBAS3,2018,1.51444527
12,BBAS3,2019,2.55423428
13,BBAS3,2020,1.47711054
14,BBAS3,2021,2.26626591
15,BBAS3,2022,1.03535026
0,AGRO3,2008,0.0193
1,AGRO3,2013,0.10070439
2,AGRO3,2015,1.3977
3,AGRO3,2016,0.42410684
4,AGRO3,2017,0.24110848
5,AGRO3,2018,0.76205108
6,AGRO3,2019,0.92933058
7,AGRO3,2020,0.70966415
8,AGRO3,2021,2.62118122
0,CCRO3,2008,1.5
1,CCRO3,2009,1.51
2,CCRO3,2010,1.93
3,CCRO3,2011,1.818309
4,CCRO3,2012,0.59707733
5,CCRO3,2013,0.73707733
6,CCRO3,2014,0.79297733
7,CCRO3,2015,0.59501957
8,CCRO3,2016,0.70797976
9,CCRO3,2017,0.63663366
10,CCRO3,2018,0.59405941
11,CCRO3,2019,0.76237624
12,CCRO3,2020,0.4818038
13,CCRO3,2021,0.16598075
0,CMIG3,2008,1.74912768
1,CMIG3,2009,1.90190918
2,CMIG3,2010,2.82026839
3,CMIG3,2011,2.99956462
4,CMIG3,2012,5.76734281
5,CMIG3,2013,1.98266353
6,CMIG3,2014,3.30332877
7,CMIG3,2015,0.60981374
8,CMIG3,2016,0.64688892
9,CMIG3,2017,0.24355956
10,CMIG3,2018,0.17458687
11,CMIG3,2019,0.72511033
12,CMIG3,2020,0.61432439
13,CMIG3,2021,1.1760464
0,CMIG4,2008,1.74912768
1,CMIG4,2009,1.90190918
2,CMIG4,2010,2.82026839
3,CMIG4,2011,2.99956462
4,CMIG4,2012,5.76734281
5,CMIG4,2013,1.98266353
6,CMIG4,2014,3.30332877
7,CMIG4,2015,0.60981374
8,CMIG4,2016,0.64688892
9,CMIG4,2017,0.24355956
10,CMIG4,2018,0.64430279
11,CMIG4,2019,0.72511033
12,CMIG4,2020,0.61432439
13,CMIG4,2021,1.1760464
0,CESP6,2008,0.15520503
1,CESP6,2009,0.29802927
2,CESP6,2010,0.29683333
3,CESP6,2011,0.70331066
4,CESP6,2012,1.53589264
5,CESP6,2013,1.41687803
6,CESP6,2014,3.17897672
7,CESP6,2015,4.85437507
8,CESP6,2016,0.48188475
9,CESP6,2017,0.48370077
10,CESP6,2018,0.03805119
11,CESP6,2019,0.88663413
12,CESP6,2020,2.27649949
13,CESP6,2021,2.16980942
0,CSMG3,2006,0.20518946
1,CSMG3,2007,0.20814388
2,CSMG3,2008,0.3033345
3,CSMG3,2009,0.45784439
4,CSMG3,2010,0.61187798
5,CSMG3,2011,0.55159168
6,CSMG3,2012,0.40680458
7,CSMG3,2013,0.42652674
8,CSMG3,2014,0.37702527
9,CSMG3,2015,0.02962055
10,CSMG3,2016,0.22383634
11,CSMG3,2017,0.69791246
12,CSMG3,2018,1.34163689
13,CSMG3,2019,0.57574589
14,CSMG3,2020,2.78756287
15,CSMG3,2021,0.94472221
16,CSMG3,2022,0.08932795
0,CPLE3,2008,0.093356
1,CPLE3,2009,0.149914
2,CPLE3,2010,0.058002
3,CPLE3,2011,0.147168
4,CPLE3,2012,0.06803
5,CPLE3,2013,0.161356
6,CPLE3,2014,0.215021
7,CPLE3,2015,0.084351
8,CPLE3,2016,0.113716
9,CPLE3,2017,0.26909
10,CPLE3,2018,0.105692
11,CPLE3,2019,0.25866979
12,CPLE3,2020,0.2818324
13,CPLE3,2021,1.19050587
0,CPLE6,2008,0.102713
1,CPLE6,2009,0.164948
2,CPLE6,2010,0.063807
3,CPLE6,2011,0.161922
4,CPLE6,2012,0.07484
5,CPLE6,2013,0.177519
6,CPLE6,2014,0.236563
7,CPLE6,2015,0.092803
8,CPLE6,2016,0.125473
9,CPLE6,2017,0.296229
10,CPLE6,2018,0.116266
11,CPLE6,2019,0.28457292
12,CPLE6,2020,0.31001564
13,CPLE6,2021,1.30955648
0,CPFE3,2007,1.75583756
1,CPFE3,2008,2.75148134
2,CPFE3,2009,2.45415387
3,CPFE3,2010,2.97445166
4,CPFE3,2011,1.78721395
5,CPFE3,2012,1.26198384
6,CPFE3,2013,0.85106084
7,CPFE3,2014,1.02880893
8,CPFE3,2016,0.20686848
9,CPFE3,2017,0.21787679
10,CPFE3,2018,0.27525952
11,CPFE3,2019,0.48018223
12,CPFE3,2020,1.80097341
13,CPFE3,2021,3.70143225
0,CYRE3,2007,0.16870927
1,CYRE3,2008,0.0409787
2,CYRE3,2009,0.18539795
3,CYRE3,2010,0.47090271
4,CYRE3,2011,0.33702116
5,CYRE3,2012,0.28810544
6,CYRE3,2013,0.50390071
7,CYRE3,2014,0.42307125
8,CYRE3,2015,0.41499399
9,CYRE3,2016,0.27917489
10,CYRE3,2017,0.09406327
11,CYRE3,2018,1.1196483
12,CYRE3,2019,1.82089517
13,CYRE3,2020,1.81736062
14,CYRE3,2021,1.08727369
0,DIRR3,2010,0.141
1,DIRR3,2011,0.3019
