IDIV - Carteira do Dia 21/03/22
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;PN      N2;130.777.854;0,608;
BRSR6;BANRISUL;PNB EJ  N1;385.955.943;1,095;
BBSE3;BBSEGURIDADE;ON      NM;559.039.972;3,595;
BBDC3;BRADESCO;ON      N1;738.772.585;3,563;
BBDC4;BRADESCO;PN      N1;625.552.771;3,642;
BRAP4;BRADESPAR;PN      N1;479.100.480;4,648;
BBAS3;BRASIL;ON  EJ  NM;355.849.250;3,306;
AGRO3;BRASILAGRO;ON      NM;98.656.763;0,911;
CCRO3;CCR SA;ON      NM;755.579.870;2,675;
CMIG3;CEMIG;ON      N1;528.840.117;2,745;
CMIG4;CEMIG;PN      N1;862.995.685;3,327;
CESP6;CESP;PNB     N1;346.856.185;2,247;
CSMG3;COPASA;ON      NM;359.103.344;1,395;
CPLE3;COPEL;ON      N2;609.367.595;1,132;
CPLE6;COPEL;PNB     N2;1.462.018.075;2,993;
CPFE3;CPFL ENERGIA;ON      NM;357.746.504;3,177;
CYRE3;CYRELA REALT;ON      NM;536.639.720;2,378;
DIRR3;DIRECIONAL;ON      NM;143.653.208;0,414;
ELET3;ELETROBRAS;ON      N1;288.334.163;2,785;
ELET6;ELETROBRAS;PNB     N1;315.689.866;3,045;
ENAT3;ENAUTA PART;ON      NM;146.036.917;0,866;
ENBR3;ENERGIAS BR;ON      NM;440.067.043;2,681;
EGIE3;ENGIE BRASIL;ON      NM;226.605.041;2,554;
ROMI3;INDS ROMI;ON      NM;71.027.452;0,269;
MYPK3;IOCHP-MAXION;ON  ED  NM;262.138.971;0,913;
ITSA4;ITAUSA;PN      N1;1.264.742.358;3,628;
ITUB3;ITAUUNIBANCO;ON      N1;508.671.871;3,189;
ITUB4;ITAUUNIBANCO;PN      N1;416.333.875;3,022;
JHSF3;JHSF PART;ON      NM;582.957.402;0,952;
MRVE3;MRV;ON      NM;561.478.680;1,716;
PSSA3;PORTO SEGURO;ON      NM;346.563.705;1,910;
QUAL3;QUALICORP;ON      NM;527.907.785;2,268;
SAPR4;SANEPAR;PN      N2;387.151.575;0,423;
SANB11;SANTANDER BR;UNT;476.042.077;4,608;
CSNA3;SID NACIONAL;ON;383.165.012;2,711;
SYNE3;SYN PROP TEC;ON      NM;59.660.124;0,111;
TAEE11;TAESA;UNT     N2;416.507.562;4,875;
TGMA3;TEGMA;ON      NM;60.982.596;0,261;
VIVT3;TELEF BRASIL;ON;424.082.332;6,199;
TRPL4;TRAN PAULIST;PN      N1;615.235.869;4,301;
UNIP6;UNIPAR;PNB;85.477.842;2,530;
WIZS3;WIZ S.A.;ON      NM;147.763.007;0,332;
Quantidade Teórica Total;;;18.351.129.046;100,000
Redutor;;;51.530.210,13028766
